nct_id,title,url,status,conditions,interventions,sponsor,collaborators,study_type,phase
NCT02229149,"Phase 2 Study of Standard Chemotherapy With Trastuzumab, Plus or Minus Pertuzumab, for Pre-treated Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT02229149,TERMINATED,Breast Neoplasms|Malignant Tumor of the Breast,"DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Vinorelbine, Paclitaxel, Nab-Paclitaxel , Docetaxel, Capecitabine",US Oncology Research,"Genentech, Inc.",INTERVENTIONAL,Phase 2
NCT01906112,Role of Surgery for the Primary in Patients With Breast Cancer Stage IV.,https://clinicaltrials.gov/study/NCT01906112,WITHDRAWN,Carcinoma Breast Stage IV,PROCEDURE: Surgery for primary breast tumor.,"National Cancer Institute, Thailand",Vichaiyut Hospital,INTERVENTIONAL,Unknown
NCT02755272,A Study of Pembrolizumab With Carboplatin and Gemcitabine in Patients With Metastatic Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT02755272,ACTIVE_NOT_RECRUITING,Carcinoma Breast Stage IV,DRUG: Pembrolizumab|DRUG: Carboplatin|DRUG: Gemcitabine,Fox Chase Cancer Center,"University of Wisconsin, Madison",INTERVENTIONAL,Unknown
NCT02183805,Chemotherapy Followed by Peripheral Stem Cell Transplantation in Treating Metastatic Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT02183805,TERMINATED,Carcinoma Breast Stage IV,"DRUG: Abraxane,Cyclophosphamide,Carboplatin",Sun Yat-sen University,nan,INTERVENTIONAL,Unknown
NCT03847220,Study of the Utility of the BOMET-QOL Questionnaire Patients With Breast Cancer and Bone Metastasis,https://clinicaltrials.gov/study/NCT03847220,COMPLETED,Breast Carcinoma Metastatic to the Bone,DIAGNOSTIC_TEST: BOMET-QoL questionnaire,Spanish Breast Cancer Research Group,Novartis Pharmaceuticals,OBSERVATIONAL,Unknown
NCT01531764,BIBW 2992 (Afatinib) and Vinorelbine,https://clinicaltrials.gov/study/NCT01531764,TERMINATED,Carcinoma Breast Stage IV,DRUG: BIBW 2992 in combination with vinorelbine,University of Magdeburg,Boehringer Ingelheim,INTERVENTIONAL,Unknown
NCT02560311,Long-term Outcome of HER2-amplified Metastatic Breast Cancer: A Retrospective Analysis,https://clinicaltrials.gov/study/NCT02560311,UNKNOWN,ERBB2|Breast Cancer|Metastatic Neoplasm,OTHER: observation,University of Zurich,nan,OBSERVATIONAL,Unknown
NCT02061085,Monotherapy With Eribulin In Her2 Negative Metastatic Breast Cancer as a First Line Treatment,https://clinicaltrials.gov/study/NCT02061085,COMPLETED,Breast Neoplasm|Metastasis,DRUG: Eribulin,MedSIR,nan,INTERVENTIONAL,Unknown
NCT00669565,Safety and Efficacy Study of Bavituximab Plus Paclitaxel and Carboplatin to Treat Breast Cancer,https://clinicaltrials.gov/study/NCT00669565,COMPLETED,Carcinoma Breast Stage IV,DRUG: Bavituximab,Peregrine Pharmaceuticals,nan,INTERVENTIONAL,Unknown
NCT01711502,Epidemiology and Management of Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT01711502,COMPLETED,Breast Cancer Nos Metastatic Recurrent,nan,AstraZeneca,nan,OBSERVATIONAL,Unknown
NCT00199212,PS-341 in Combination With Herceptin in Advanced Breast Cancer That Overexpresses HER-2,https://clinicaltrials.gov/study/NCT00199212,COMPLETED,Carcinoma Breast Stage IV,DRUG: Combination of trastuzumab and PS-341,Jules Bordet Institute,nan,INTERVENTIONAL,Unknown
NCT01703754,Adenoviral Vector Monotherapy or Combination With Chemotherapy in Subjects With Recurrent/Metastatic Breast Cancer.,https://clinicaltrials.gov/study/NCT01703754,TERMINATED,Breast Cancer Nos Metastatic Recurrent,GENETIC: Ad-RTS-hIL-12 and Veledimex|DRUG: Palifosfamide,Alaunos Therapeutics,nan,INTERVENTIONAL,Unknown
NCT03511781,Palliative Hypofractionated Radiotherapy in Advanced Incurable Breast Cancer,https://clinicaltrials.gov/study/NCT03511781,COMPLETED,Carcinoma Breast Stage IV,RADIATION: Hypofractionated Radiotherapy,Tata Medical Center,nan,INTERVENTIONAL,Unknown
NCT01644890,A Phase III Study of NK105 in Patients With Breast Cancer,https://clinicaltrials.gov/study/NCT01644890,COMPLETED,Breast Cancer Nos Metastatic Recurrent,DRUG: NK105|DRUG: Paclitaxel,"Nippon Kayaku Co., Ltd.",nan,INTERVENTIONAL,Phase 3
NCT02161315,Steroid Aromatase Inhibitors Versus Progestogens for nSAID-resistanced Late Stage Breast Cancer,https://clinicaltrials.gov/study/NCT02161315,UNKNOWN,Carcinoma Breast Stage IV,nan,Tianjin Medical University Cancer Institute and Hospital,nan,OBSERVATIONAL,Unknown
NCT02140437,Fulvestrant Combined Anastrozole Versus Anastrozole in Luminal A-like Postmenopausal ABC,https://clinicaltrials.gov/study/NCT02140437,WITHDRAWN,Carcinoma Breast Stage IV,DRUG: Fulvestrant|DRUG: Anastrozole,Fudan University,nan,INTERVENTIONAL,Unknown
NCT04132960,"Study of DS-8201a, an Antibody Drug Conjugate for Advanced Breast Cancer Patients, With Biomarkers Analysis",https://clinicaltrials.gov/study/NCT04132960,COMPLETED,Breast Tumors,DRUG: DS-8201a,UNICANCER,"Daiichi Sankyo Europe, GmbH, a Daiichi Sankyo Company",INTERVENTIONAL,Unknown
NCT07195344,Study Aiming to Compare the Plasma Exposure of the Payload (Free-DXd) in Patients Treated by T-DXd for Locally Advanced or Metastatic Breast Cancer According to Their BMI.,https://clinicaltrials.gov/study/NCT07195344,RECRUITING,Locally Advanced or Metastatic Breast Cancers,BIOLOGICAL: Pharmacokinetics blood samples,Institut Claudius Regaud,"Ligue contre le cancer, France",INTERVENTIONAL,Unknown
NCT00433095,Vinorelbine (Oral) Plus Trastuzumab for 1st-line Treatment of HER2/Neu Overexpressing Breast Cancer,https://clinicaltrials.gov/study/NCT00433095,COMPLETED,Carcinoma Breast Stage IV,DRUG: Navelbine|DRUG: Herceptin|DRUG: Navelbine (oraly),Ludwig-Maximilians - University of Munich,Pierre Fabre Laboratories,INTERVENTIONAL,Unknown
NCT00193778,Assessing Impact of Loco-regional Treatment on Survival in Metastatic Breast Cancer at Presentation,https://clinicaltrials.gov/study/NCT00193778,COMPLETED,Cancer of the Breast,PROCEDURE: Surgery for breast cancer|OTHER: No Loco-regional treatment,Tata Memorial Hospital,nan,INTERVENTIONAL,Unknown
NCT00626106,QUILT-2.015: A Study of AMG 479 With Exemestane or Fulvestrant in Postmenopausal Women With Hormone Receptor Positive Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00626106,COMPLETED,Breast Cancer|Breast Tumors|Metastatic Cancer,DRUG: AMG 479|DRUG: Placebo,"NantCell, Inc.",nan,INTERVENTIONAL,Unknown
NCT05693766,Gene Signatures to Guide HR+MBC Therapy in a Diverse Cohort,https://clinicaltrials.gov/study/NCT05693766,RECRUITING,Invasive Mammary Carcinoma|Metastatic Breast Cancer,DRUG: Capecitabine|OTHER: Endocrine-therapy|OTHER: MammoPrint ® and BluePrint assays,Sonya Reid,Agendia|Susan G. Komen Breast Cancer Foundation,INTERVENTIONAL,Unknown
NCT06137651,Trotabresib in Combination With Vinorelbine and Radiation Therapy for the Treatment of HER2+ Breast Cancer With Central Nervous System or Leptomeningeal Metastasis,https://clinicaltrials.gov/study/NCT06137651,WITHDRAWN,Breast Carcinoma|Metastatic Malignant Neoplasm in the Brain|Metastatic Malignant Neoplasm in the Leptomeninges,PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|RADIATION: Radiation Therapy|PROCEDURE: Resection|DRUG: Trotabresib|DRUG: Vinorelbine,Northwestern University,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT05169567,Abemaciclib (LY2835219) Plus Fulvestrant Compared to Placebo Plus Fulvestrant in Previously Treated Breast Cancer,https://clinicaltrials.gov/study/NCT05169567,ACTIVE_NOT_RECRUITING,Breast Neoplasm|Neoplasm Metastasis,DRUG: Abemaciclib|DRUG: Fulvestrant|DRUG: Placebo,Eli Lilly and Company,nan,INTERVENTIONAL,Unknown
NCT06251544,TRAIL-R2 and HER2 Bi-Specific Chimeric Antigen Receptor (CAR) T Cells for the Treatment of Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06251544,NOT_YET_RECRUITING,"Breast Cancer|Tumor, Breast|Breast Tumor|Malignant Neoplasm of Breast|Mammary Cancer|Mammary Neoplasm|Mammary Neoplasms, Human|Neoplasm, Breast",GENETIC: HTR2 T Cells|GENETIC: HTR2 T Cells,Baylor College of Medicine,"Center for Cell and Gene Therapy, Baylor College of Medicine|The Methodist Hospital Research Institute",INTERVENTIONAL,Unknown
NCT04654208,Swedish Ibrance Registries Insights (SIRI),https://clinicaltrials.gov/study/NCT04654208,ACTIVE_NOT_RECRUITING,Malignant Neoplasm of Breast,DRUG: palbociclib,Pfizer,nan,OBSERVATIONAL,Unknown
NCT02376413,Oncoplastic Breast-conserving Surgery in Non-metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT02376413,WITHDRAWN,Local Recurrence of Malignant Tumor of Breast,PROCEDURE: Breast surgery|DRUG: Chemotherapy or endocrine therapy or Trastuzumab therapy|RADIATION: Radiation therapy,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,nan,OBSERVATIONAL,Unknown
NCT04794075,"Therapeutic Education and Nursing Support Program for Supportive Care, in Patients Treated With Hormone Therapy for Non-metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT04794075,RECRUITING,Neoplasm of Breast,OTHER: Therapeutic Education and Nursing Support Program for Supportive Care,Centre Hospitalier Emile Roux,"University Hospital, Clermont-Ferrand|Walisco",INTERVENTIONAL,Unknown
NCT05159778,Phase 2 Study of Imprime PGG and Pembrolizumab in Patients With HR+/HER2- Metastatic Breast Cancer (mBCA),https://clinicaltrials.gov/study/NCT05159778,COMPLETED,Malignant Neoplasm of Breast,BIOLOGICAL: Imprime PGG|BIOLOGICAL: Pembrolizumab,"HiberCell, Inc.",Merck Sharp & Dohme LLC,INTERVENTIONAL,Phase 2
NCT02025192,A Study of Tucatinib (ONT-380) Combined With Capecitabine and/or Trastuzumab in Patients With HER2+ Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT02025192,COMPLETED,HER2 Positive Metastatic Breast Cancers,DRUG: Tucatinib|DRUG: Capecitabine|DRUG: Trastuzumab,Seagen Inc.,nan,INTERVENTIONAL,Unknown
NCT01843725,Phase 1 Study Testing the Combination of Aflibercept and Capecitabine in Metastatic Digestive and Breast Cancers,https://clinicaltrials.gov/study/NCT01843725,COMPLETED,Metastatic Colorectal Cancers|Metastatic Gastric Cancers|Metastatic Oesophageal Cancers|Metastatic Pancreatic Cancers|Metastatic Biliary Cancers|Metastatic Breast Cancers,DRUG: capecitabine|DRUG: aflibercept|DRUG: Capecitabine,Jules Bordet Institute,nan,INTERVENTIONAL,Phase 1
NCT00217815,Preliminary Study of Mycograb and Docetaxel in Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT00217815,COMPLETED,Cancer of the Breast,"DRUG: Mycograb, Docetaxel",NeuTec Pharma,nan,INTERVENTIONAL,Unknown
NCT05860907,Clinical Study of Huaier Granules in Patients With Advanced Breast Cancer Without Visceral Metastasis,https://clinicaltrials.gov/study/NCT05860907,NOT_YET_RECRUITING,Breast Cancer Stage IV,DRUG: Huaier Granule,Fudan University,LinkDoc Technology (Beijing) Co. Ltd.|Huazhong University of Science and Technology,INTERVENTIONAL,Unknown
NCT00001250,Effect of Preoperative Chemotherapy on Axillary Lymph Node Metastases in Stage II Breast Cancer: A Prospective Randomized Trial,https://clinicaltrials.gov/study/NCT00001250,COMPLETED,Breast Neoplasm|Neoplasm Metastasis,DRUG: preoperative dose intense chemotherapy (FLAC/G-CSF),National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT06236269,HR+/HER2- Advanced or Metastatic Breast Cancer Patients Treated With Sacituzumab Govitecan,https://clinicaltrials.gov/study/NCT06236269,RECRUITING,Breast Cancer Stage IV,DRUG: Sacituzumab Govitecan,SOLTI Breast Cancer Research Group,nan,INTERVENTIONAL,Unknown
NCT03159195,Ibrance Real World Insights,https://clinicaltrials.gov/study/NCT03159195,COMPLETED,Malignant Neoplasm of Breast,nan,Pfizer,nan,OBSERVATIONAL,Unknown
NCT06578299,Inetetamab Combined With Paclitaxel With/Without Pertuzumab for Previously Treated HER2-positive Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06578299,NOT_YET_RECRUITING,Breast Cancer Stage IV,DRUG: Inetetamab and Paclitaxel ± Pertuzumab,Fudan University,nan,INTERVENTIONAL,Unknown
NCT05880394,Study of Dotatate Imaging in Breast Cancer,https://clinicaltrials.gov/study/NCT05880394,ACTIVE_NOT_RECRUITING,Breast Cancer Stage IV,DRUG: Gallium-68 DOTATATE|DRUG: Copper-64 DOTATATE,Hoag Memorial Hospital Presbyterian,nan,INTERVENTIONAL,Unknown
NCT00191373,A Trial for HER2 Positive Breast Cancer Patients With Metastatic Disease,https://clinicaltrials.gov/study/NCT00191373,COMPLETED,Breast Neoplasms|Cancer of the Breast|Breast Cancer,DRUG: Gemcitabine|DRUG: Trastuzumab,Eli Lilly and Company,nan,INTERVENTIONAL,Unknown
NCT00001507,Chemotherapy and Progenitor Cell Transplantation to Treat Inflammatory Breast Cancer,https://clinicaltrials.gov/study/NCT00001507,COMPLETED,Breast Neoplasm|Neoplasm Metastasis,DRUG: Monoclonal Antibody 3A1|DRUG: Monoclonal Antibody 95-5-49|DRUG: Monoclonal Antibody 95-6-22|DEVICE: Baxter Isolex 3001 Stem Cell Selection System|DEVICE: Ceprate SC,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT05670054,Cyclin Dependant Kinase 4/6 (CDK4/6) Inhibitors as a Second Line Treatment in Metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05670054,UNKNOWN,Breast Cancer Stage IV,"DRUG: comparing both arms as regard the objective response rate, toxicity profile, quality of life, progression free survival",Mansoura University,nan,INTERVENTIONAL,Unknown
NCT00001440,Autologous T-Cell Transplantation and the Immunotherapy of Residual Disease in Breast Cancer: Pilot Study of Vaccine-Driven T-Cell Expansion in Patients Treated With Dose-Intensive Chemotherapy,https://clinicaltrials.gov/study/NCT00001440,COMPLETED,Breast Neoplasm|Neoplasm Metastasis,PROCEDURE: Autologous T cells|DRUG: Interleukin-2,National Cancer Institute (NCI),nan,INTERVENTIONAL,Unknown
NCT05625087,Detection of Tumor DNA in the Blood of Patients Receiving Standard Therapy for Hormone Receptor-positive (HR+) Non-HER2 Expressing (HER2-) Metastatic Breast Cancer as a Tool to Select Those Who May Benefit From the Next Course of Fulvestrant in Combination With Alpelisib or Ribociclib,https://clinicaltrials.gov/study/NCT05625087,ACTIVE_NOT_RECRUITING,Breast Cancer Stage IV,DRUG: Alpelisib|DRUG: Ribociclib,UNICANCER,Novartis|Breast Cancer Research Foundation,INTERVENTIONAL,Unknown
NCT04566458,RWD Study in HER2+ mBC Patients in Third-Line Therapy,https://clinicaltrials.gov/study/NCT04566458,COMPLETED,Breast Cancer Stage IV,OTHER: No intervention,Exactis Innovation,Knight Therapeutics,OBSERVATIONAL,Unknown
NCT04896320,"Tucatinib With Chemotherapy and Trastuzumab in Advanced Her-2-neu Overexpressing, Previously Treated Breast Cancer.",https://clinicaltrials.gov/study/NCT04896320,WITHDRAWN,Breast Cancer Stage IV,DRUG: Tucatinib,Providence Health & Services,Seagen Inc.,INTERVENTIONAL,Unknown
