Region,Cases,ASR
India Total,210000,25.8
Urban India,145000,35.4
Rural India,65000,16.9
Delhi,18000,48.1
Mumbai,22000,51.4
Bangalore,15000,46.3
Chennai,12000,44.9
Kolkata,10500,42.2
Hyderabad,11500,45.7
Ahmedabad,9000,40.6
Pune,8000,43.1
Lucknow,7500,34.8
Patna,6200,29.5
Jaipur,7100,36.7
Surat,6800,32.8
Indore,5200,31.4
Bhopal,4800,30.9
Nagpur,5300,33.0
Coimbatore,4700,39.5
Kochi,4500,38.1
Thiruvananthapuram,4300,37.7
Visakhapatnam,4400,36.2
Vijayawada,4200,35.0
Kanpur,5000,32.1
Varanasi,4800,31.3
Ludhiana,5200,38.4
Amritsar,4700,36.0
Chandigarh,3400,44.1
Guwahati,3900,37.2
Shillong,2100,33.8
