Country,Cases,ASR
World,2302452,47.8
United States,297790,89.6
India,210000,25.8
China,420000,36.1
United Kingdom,56000,93.1
Germany,71500,92.3
France,62000,88.4
Brazil,74000,62.0
Japan,92000,78.3
Russia,71000,61.8
Indonesia,68000,44.2
Pakistan,44000,43.2
Bangladesh,32000,38.0
Mexico,36000,49.5
Italy,56000,89.1
Spain,34000,82.4
Australia,20000,87.8
Canada,29000,84.2
South Africa,27000,55.4
Nigeria,28500,48.0
Egypt,35000,54.9
Turkey,27000,58.6
Argentina,22500,63.5
Saudi Arabia,16500,58.1
South Korea,30000,76.2
Thailand,22000,42.5
Malaysia,12000,52.4
Philippines,27000,53.5
Vietnam,24000,41.3
Kenya,14000,40.1
Ethiopia,13000,37.0
Uganda,9000,42.7
Tanzania,9500,39.4
Ghana,8700,38.9
Colombia,15000,55.4
Peru,13500,50.1
Chile,11000,60.4
Netherlands,14500,95.0
Belgium,12500,96.6
Sweden,9800,92.0
Norway,8500,94.5
Denmark,7200,97.8
Poland,19500,74.1
Ukraine,27000,65.1
Romania,12800,62.9
Greece,9600,85.2
Portugal,8200,79.1
Switzerland,6200,92.3
Austria,6800,89.4
New Zealand,3300,90.7
