sponsor,count
National Cancer Institute (NCI),177
Fudan University,103
Hoffmann-La Roche,98
Pfizer,86
Novartis Pharmaceuticals,83
AstraZeneca,82
M.D. Anderson Cancer Center,72
Memorial Sloan Kettering Cancer Center,70
Eli Lilly and Company,64
Dana-Farber Cancer Institute,49
University of Washington,42
Alliance for Clinical Trials in Oncology,40
City of Hope Medical Center,40
Mayo Clinic,40
"Genentech, Inc.",37
UNICANCER,35
Northwestern University,30
Wake Forest University Health Sciences,26
UNC Lineberger Comprehensive Cancer Center,25
Sun Yat-sen University,25
